trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed
T02017,2023-03-26,03:27:41,Tram,Route_8,Station_40,Station_50,12:31:27,12:13:10,3.5,33.2,Clear,24.8,69.1,59.2,0.3,Parade,5126,87,0,0,5,Spring,1
T02018,2023-03-26,03:50:21,Metro,Route_16,Station_17,Station_27,07:27:54,07:57:52,-1.0,3.6,Clear,35.5,23.6,14.8,1.2,None,0,23,0,0,2,Autumn,0
T02019,2023-03-26,03:36:54,Metro,Route_2,Station_2,Station_41,12:10:31,13:29:11,2.7,28.7,Rain,28.7,90.1,8.5,12.2,Festival,30132,98,0,0,6,Autumn,1
T02020,2023-03-26,20:06:57,Tram,Route_18,Station_45,Station_36,17:42:03,17:30:48,3.9,45.3,Cloudy,14.8,65.7,35.9,0.7,Festival,35509,60,0,0,0,Spring,1
T02021,2023-03-26,17:33:58,Tram,Route_8,Station_31,Station_36,10:22:06,10:24:27,13.3,16.3,Clear,30.3,55.9,56.0,0.6,None,0,47,0,1,4,Winter,1
T02022,2023-03-26,23:02:14,Metro,Route_16,Station_29,Station_18,10:04:20,11:37:35,1.3,31.4,Clear,23.5,49.0,79.4,0.4,Festival,13177,81,1,0,2,Autumn,1
T02023,2023-03-26,19:13:57,Metro,Route_20,Station_29,Station_22,09:45:30,09:51:41,6.8,27.5,Storm,18.0,45.0,22.3,19.9,Festival,6140,54,0,1,2,Summer,1
T02024,2023-03-26,02:55:44,Metro,Route_15,Station_43,Station_22,20:38:18,21:14:16,10.2,28.1,Storm,34.8,41.1,72.7,24.5,Sports,45209,26,0,0,5,Spring,1
T02025,2023-03-26,03:56:36,Bus,Route_19,Station_39,Station_31,20:09:15,21:20:04,4.9,31.9,Rain,17.7,98.0,6.1,19.4,Sports,14317,84,0,0,5,Summer,1
T02026,2023-03-26,19:30:17,Tram,Route_1,Station_34,Station_36,11:33:31,12:40:23,-1.0,1.2,Clear,14.8,44.4,24.1,1.4,Sports,3206,54,0,1,3,Winter,0
T02027,2023-03-26,13:02:59,Metro,Route_4,Station_40,Station_10,15:51:13,15:51:47,-1.5,-2.4,Cloudy,25.0,39.0,32.9,1.5,None,0,81,1,0,6,Autumn,0
T02028,2023-03-26,14:04:43,Train,Route_13,Station_15,Station_12,13:26:31,14:45:03,7.7,47.7,Cloudy,14.5,56.6,28.3,0.1,Sports,32164,91,0,0,1,Winter,1
T02029,2023-03-26,05:59:17,Metro,Route_11,Station_36,Station_3,19:00:19,20:10:20,5.4,33.8,Rain,7.9,40.6,66.7,23.2,None,0,18,0,0,0,Spring,1
T02030,2023-03-26,12:57:34,Tram,Route_3,Station_49,Station_27,17:40:10,18:08:55,15.1,19.9,Fog,18.2,41.7,34.9,0.8,None,0,76,0,0,1,Summer,1
T02031,2023-03-26,21:36:42,Metro,Route_15,Station_12,Station_34,05:21:40,06:33:23,11.9,20.3,Rain,37.2,41.2,61.5,21.0,None,0,79,1,0,0,Summer,1
T02032,2023-03-26,11:02:11,Bus,Route_2,Station_29,Station_11,21:19:43,21:19:27,-0.5,-1.8,Cloudy,17.6,31.0,70.7,1.1,Concert,17352,32,0,0,5,Winter,0
T02033,2023-03-26,16:59:54,Bus,Route_20,Station_35,Station_36,14:39:27,14:06:15,6.8,44.0,Snow,39.5,91.0,40.5,7.3,None,0,16,0,0,3,Summer,1
T02034,2023-03-26,17:20:01,Metro,Route_4,Station_26,Station_1,06:39:07,06:00:51,2.6,-0.2,Cloudy,31.9,34.7,30.7,1.2,None,0,46,0,1,3,Winter,0
T02035,2023-03-26,22:13:37,Train,Route_9,Station_49,Station_44,11:38:08,11:34:29,0.9,3.4,Cloudy,16.8,21.8,0.2,0.2,None,0,39,0,0,3,Autumn,0
T02036,2023-03-26,05:09:48,Train,Route_17,Station_21,Station_35,17:33:18,18:52:12,1.8,19.0,Cloudy,10.2,82.2,58.3,0.1,Concert,9276,19,0,0,0,Spring,1
T02037,2023-03-26,21:52:45,Metro,Route_11,Station_11,Station_35,08:21:46,08:58:00,-0.8,2.2,Fog,24.1,56.1,77.0,1.0,None,0,19,0,0,4,Spring,0
T02038,2023-03-26,14:52:25,Bus,Route_15,Station_7,Station_36,05:23:51,06:34:58,11.1,18.3,Snow,38.0,48.3,19.1,17.3,Sports,19420,16,0,0,6,Summer,1
T02039,2023-03-26,19:59:04,Train,Route_15,Station_43,Station_18,09:44:55,10:36:59,14.2,39.5,Cloudy,13.6,62.6,74.9,1.3,None,0,92,0,1,0,Winter,1
T02040,2023-03-26,06:19:10,Tram,Route_19,Station_35,Station_50,14:08:23,15:30:08,4.5,46.4,Storm,4.6,64.5,78.5,16.5,Sports,3078,74,0,0,1,Winter,1
T02041,2023-03-27,02:36:15,Tram,Route_10,Station_29,Station_38,12:36:30,13:56:46,7.2,11.6,Cloudy,0.9,50.8,53.0,0.7,Sports,27281,11,0,0,5,Autumn,1
T02042,2023-03-27,02:36:53,Train,Route_20,Station_22,Station_10,14:04:01,14:53:00,-0.2,-0.3,Cloudy,18.3,88.1,50.9,0.5,None,0,19,0,0,5,Summer,0
T02043,2023-03-27,09:54:24,Metro,Route_11,Station_21,Station_47,11:28:23,12:40:29,2.8,44.1,Clear,15.0,87.4,67.2,0.7,None,0,71,0,1,1,Winter,1
T02044,2023-03-27,13:43:57,Metro,Route_18,Station_47,Station_37,16:26:15,17:48:53,-1.7,-1.9,Clear,18.1,49.2,77.9,0.3,Concert,30110,69,0,0,0,Summer,0
T02045,2023-03-27,06:34:21,Tram,Route_15,Station_35,Station_16,17:13:20,18:14:35,11.0,14.8,Snow,16.9,37.8,49.9,21.7,None,0,41,0,0,5,Autumn,1
T02046,2023-03-27,06:24:48,Train,Route_3,Station_49,Station_48,15:44:14,16:55:45,3.5,43.6,Clear,20.8,58.9,1.8,1.2,Sports,7905,89,0,0,1,Autumn,1
T02047,2023-03-27,19:47:08,Tram,Route_13,Station_41,Station_13,14:58:55,15:54:10,-0.0,0.4,Cloudy,9.1,32.5,60.8,0.3,Festival,24195,40,0,1,5,Spring,0
T02048,2023-03-27,17:50:44,Metro,Route_18,Station_39,Station_33,09:57:20,09:30:50,-1.2,3.3,Clear,16.4,42.6,23.9,0.3,None,0,18,0,1,2,Summer,0
T02049,2023-03-27,15:46:05,Train,Route_3,Station_28,Station_34,14:40:58,14:30:30,10.2,20.3,Rain,14.2,50.7,40.7,34.9,Festival,39374,50,0,0,6,Autumn,1
T02050,2023-03-27,15:32:47,Metro,Route_17,Station_13,Station_49,20:57:30,21:29:58,10.1,18.3,Storm,18.7,50.6,49.9,30.8,None,0,29,0,0,6,Spring,1
T02051,2023-03-27,20:22:03,Bus,Route_3,Station_33,Station_29,13:50:17,13:47:48,11.9,42.1,Snow,15.2,34.4,29.6,9.5,Concert,33356,24,0,0,0,Autumn,1
T02052,2023-03-27,05:06:27,Tram,Route_18,Station_36,Station_50,12:35:21,13:07:07,2.8,1.1,Cloudy,24.3,60.8,9.5,0.2,None,0,13,0,0,5,Autumn,0
T02053,2023-03-27,22:14:53,Tram,Route_16,Station_27,Station_15,17:36:50,18:56:48,2.4,39.1,Cloudy,27.0,69.1,43.4,0.8,Sports,31665,87,0,0,5,Spring,1
T02054,2023-03-27,20:04:21,Train,Route_4,Station_2,Station_41,16:21:44,16:32:18,1.5,2.6,Clear,13.0,68.9,38.2,1.3,Sports,11974,66,0,0,2,Autumn,0
T02055,2023-03-27,08:38:49,Metro,Route_15,Station_49,Station_13,10:12:57,10:08:20,8.5,25.3,Storm,27.9,84.2,78.1,15.6,None,0,42,0,1,6,Winter,1
T02056,2023-03-27,08:39:38,Tram,Route_3,Station_42,Station_50,13:08:20,14:08:44,-1.2,3.8,Clear,36.1,26.2,6.3,0.4,Concert,32442,34,0,1,5,Spring,0
T02057,2023-03-27,04:25:49,Metro,Route_12,Station_18,Station_39,18:50:40,18:46:30,3.4,36.2,Storm,29.6,32.6,69.5,13.4,Festival,36569,21,0,0,1,Spring,1
T02058,2023-03-27,17:20:01,Metro,Route_19,Station_25,Station_32,14:36:58,14:41:32,8.7,31.5,Snow,29.9,55.0,39.5,14.1,Sports,46947,63,0,1,5,Winter,1
T02059,2023-03-27,07:40:17,Tram,Route_5,Station_7,Station_4,17:14:45,18:58:24,7.2,37.3,Rain,28.0,58.6,16.8,21.4,Festival,39550,77,0,1,4,Summer,1
T02060,2023-03-27,06:50:28,Tram,Route_4,Station_47,Station_25,12:37:39,12:12:00,1.6,1.3,Rain,12.7,36.4,23.6,6.9,None,0,79,0,0,3,Summer,0
T02061,2023-03-27,16:31:14,Train,Route_9,Station_12,Station_8,21:15:52,21:49:38,9.6,45.0,Cloudy,38.0,43.9,0.7,1.3,Protest,23730,68,0,0,6,Spring,1
T02062,2023-03-27,04:22:35,Metro,Route_8,Station_19,Station_46,05:52:15,05:03:00,1.8,1.5,Clear,3.6,32.8,43.3,0.4,None,0,43,0,0,3,Autumn,0
T02063,2023-03-27,02:24:27,Bus,Route_1,Station_22,Station_19,21:31:36,22:28:58,10.3,29.9,Cloudy,8.2,63.4,73.9,1.3,Protest,13960,58,0,0,1,Winter,1
T02064,2023-03-27,20:11:43,Metro,Route_10,Station_14,Station_42,12:30:56,12:05:09,2.2,11.9,Clear,4.3,58.2,60.2,1.0,Sports,38151,24,0,0,3,Autumn,1
T02065,2023-03-28,00:37:42,Metro,Route_6,Station_32,Station_46,19:01:20,20:04:03,3.1,34.4,Rain,16.8,75.0,23.3,34.7,Concert,21155,17,1,0,3,Summer,1
T02066,2023-03-28,22:24:05,Metro,Route_3,Station_50,Station_6,22:32:56,23:52:09,2.2,1.9,Cloudy,28.6,70.4,28.3,0.4,None,0,16,0,0,1,Autumn,0
T02067,2023-03-28,16:49:39,Metro,Route_6,Station_43,Station_38,20:06:24,20:45:54,11.2,35.3,Snow,6.6,41.7,23.7,28.1,None,0,12,0,0,4,Winter,1
T02068,2023-03-28,08:18:51,Train,Route_1,Station_27,Station_16,18:48:09,19:17:09,6.2,21.5,Snow,38.2,80.8,10.1,22.6,Parade,33846,63,0,1,5,Autumn,1
T02069,2023-03-28,13:15:45,Tram,Route_19,Station_7,Station_6,05:39:20,06:12:18,1.7,-2.5,Clear,24.7,32.1,12.7,0.7,None,0,24,1,0,6,Winter,0
T02070,2023-03-28,07:04:05,Tram,Route_20,Station_44,Station_14,17:05:33,18:43:18,2.6,-1.6,Clear,37.1,70.4,57.3,0.6,Concert,26345,15,0,1,5,Summer,0
T02071,2023-03-28,09:17:09,Bus,Route_8,Station_13,Station_28,15:31:29,15:31:13,2.6,26.3,Cloudy,22.3,69.6,46.6,1.4,Sports,31472,81,1,1,3,Autumn,1
T02072,2023-03-28,16:24:45,Metro,Route_18,Station_46,Station_43,07:38:57,07:56:43,0.7,-1.1,Clear,21.4,38.8,23.1,1.2,Festival,25319,72,0,0,5,Winter,0
T02073,2023-03-28,21:50:40,Tram,Route_10,Station_20,Station_35,11:57:46,11:03:22,2.8,18.4,Rain,38.4,35.6,21.0,12.9,None,0,61,0,0,6,Winter,1
T02074,2023-03-28,05:09:47,Tram,Route_19,Station_26,Station_12,12:17:04,12:47:42,6.0,41.8,Rain,37.6,28.5,57.9,30.3,None,0,15,0,0,5,Winter,1
T02075,2023-03-28,12:24:20,Metro,Route_4,Station_22,Station_15,09:28:24,09:30:54,11.0,35.1,Rain,26.2,69.6,7.6,32.6,None,0,91,0,0,5,Winter,1
T02076,2023-03-28,20:23:06,Tram,Route_6,Station_23,Station_16,18:49:12,19:52:44,0.0,3.7,Cloudy,0.2,49.1,17.3,0.9,Parade,21809,35,0,0,5,Winter,0
T02077,2023-03-28,00:05:00,Tram,Route_15,Station_9,Station_37,14:50:49,14:42:28,12.0,17.3,Snow,0.3,99.9,28.2,24.6,None,0,47,0,0,3,Autumn,1
T02078,2023-03-28,00:19:28,Tram,Route_5,Station_28,Station_26,05:17:45,05:30:06,7.2,47.3,Rain,-3.5,70.8,70.0,21.1,Concert,27451,82,0,0,5,Winter,1
T02079,2023-03-28,14:23:48,Tram,Route_17,Station_21,Station_2,13:09:23,13:48:39,6.9,39.2,Storm,1.6,20.8,65.4,8.3,Concert,32756,10,0,0,2,Autumn,1
T02080,2023-03-28,03:17:06,Bus,Route_9,Station_43,Station_4,07:54:49,08:53:59,13.7,38.5,Snow,19.6,49.9,6.6,30.7,Sports,16665,82,0,0,6,Winter,1
T02081,2023-03-28,23:08:05,Train,Route_9,Station_24,Station_4,15:03:30,15:50:45,10.0,15.6,Rain,15.0,21.1,44.5,6.2,Protest,27070,28,0,0,6,Summer,1
T02082,2023-03-28,02:11:27,Bus,Route_10,Station_49,Station_49,11:15:14,11:57:27,2.4,36.7,Clear,26.2,70.1,66.9,0.1,Festival,37696,35,0,0,4,Spring,1
T02083,2023-03-28,17:28:35,Tram,Route_16,Station_15,Station_26,14:40:00,14:59:07,11.4,25.8,Snow,35.1,93.4,43.6,10.0,Sports,14295,93,0,1,5,Summer,1
T02084,2023-03-28,07:35:32,Metro,Route_1,Station_17,Station_25,18:20:22,18:43:37,-1.8,0.0,Cloudy,11.9,79.6,37.0,1.2,None,0,54,0,1,5,Autumn,0
T02085,2023-03-28,22:26:06,Bus,Route_16,Station_2,Station_39,12:52:39,12:37:40,10.1,18.9,Cloudy,34.1,41.2,71.4,0.5,None,0,61,0,0,4,Winter,1
T02086,2023-03-28,20:01:05,Metro,Route_16,Station_37,Station_10,08:30:35,08:30:06,8.6,25.3,Cloudy,35.3,34.3,58.7,0.1,Parade,38621,65,0,0,5,Winter,1
T02087,2023-03-28,19:22:35,Metro,Route_17,Station_4,Station_2,11:09:50,12:24:23,14.6,34.9,Cloudy,25.5,90.2,40.7,1.5,None,0,74,0,1,5,Winter,1
T02088,2023-03-28,15:05:38,Metro,Route_20,Station_15,Station_14,11:17:20,11:45:39,-0.4,2.6,Clear,32.6,29.5,14.0,0.3,None,0,62,0,0,1,Autumn,0
T02089,2023-03-29,05:38:50,Tram,Route_16,Station_46,Station_11,08:31:20,09:27:22,13.6,40.4,Clear,36.7,76.8,14.2,0.5,None,0,89,0,0,1,Summer,1
T02090,2023-03-29,02:20:55,Bus,Route_11,Station_31,Station_40,10:38:56,11:49:25,10.1,22.9,Snow,15.6,39.5,18.9,21.5,Protest,15267,90,0,0,3,Autumn,1
T02091,2023-03-29,06:24:00,Train,Route_10,Station_28,Station_41,12:34:12,13:25:49,4.2,22.4,Rain,17.6,44.1,46.9,8.2,Festival,23970,77,0,0,0,Autumn,1
T02092,2023-03-29,01:18:26,Tram,Route_8,Station_41,Station_32,14:52:51,15:29:26,9.4,27.1,Storm,18.2,23.7,43.8,17.8,Parade,38580,58,0,0,5,Winter,1
T02093,2023-03-29,18:24:49,Train,Route_17,Station_39,Station_46,17:41:12,17:18:02,15.1,33.8,Snow,15.7,33.6,50.7,24.8,Festival,9797,47,0,1,4,Winter,1
T02094,2023-03-29,06:05:46,Bus,Route_8,Station_45,Station_24,14:59:38,14:38:39,11.3,38.8,Cloudy,37.7,23.1,15.8,1.2,Sports,11809,66,0,0,0,Winter,1
T02095,2023-03-29,10:57:35,Bus,Route_12,Station_34,Station_13,14:38:07,15:46:43,15.3,40.4,Rain,-0.9,61.6,41.5,15.8,None,0,73,0,0,2,Winter,1
T02096,2023-03-29,14:57:15,Train,Route_2,Station_23,Station_17,18:18:46,18:24:33,14.4,38.1,Fog,11.3,56.0,48.8,1.4,Parade,9185,70,0,0,3,Spring,1
T02097,2023-03-29,16:36:33,Train,Route_7,Station_7,Station_8,10:03:47,11:54:15,2.4,-2.8,Clear,35.8,62.6,68.6,1.1,Festival,29143,79,0,0,5,Winter,0
T02098,2023-03-29,14:10:43,Train,Route_6,Station_19,Station_46,08:56:12,08:12:18,3.6,15.4,Storm,29.8,25.2,22.0,16.1,None,0,45,0,0,0,Autumn,1
T02099,2023-03-29,17:24:10,Train,Route_9,Station_36,Station_31,06:33:51,06:49:17,3.1,47.6,Storm,8.0,84.5,22.3,32.8,Parade,34175,100,0,1,3,Spring,1
T02100,2023-03-29,02:08:17,Bus,Route_11,Station_13,Station_39,18:32:18,18:01:01,9.9,18.5,Clear,24.9,29.9,79.4,0.7,Concert,36295,86,1,0,1,Summer,1
T02101,2023-03-29,06:19:17,Train,Route_15,Station_34,Station_15,10:15:50,11:39:45,4.4,21.2,Snow,-4.9,86.6,5.0,20.0,Concert,19364,91,0,0,2,Autumn,1
T02102,2023-03-29,18:31:09,Metro,Route_9,Station_7,Station_36,20:24:27,20:23:09,-1.0,3.8,Clear,19.0,45.8,39.1,0.7,None,0,24,0,1,3,Winter,0
T02103,2023-03-29,17:04:10,Bus,Route_4,Station_4,Station_17,20:44:52,21:10:59,15.9,38.4,Storm,36.3,55.5,74.3,14.3,None,0,92,0,1,1,Spring,1
T02104,2023-03-29,15:27:17,Bus,Route_11,Station_19,Station_23,05:54:00,05:52:53,12.0,30.7,Rain,22.8,72.2,44.0,19.8,None,0,74,0,0,2,Summer,1
T02105,2023-03-29,22:26:19,Train,Route_2,Station_12,Station_33,08:19:16,08:18:08,4.5,36.4,Clear,35.9,68.4,46.4,0.6,None,0,81,0,0,2,Autumn,1
T02106,2023-03-29,23:30:50,Tram,Route_17,Station_44,Station_50,12:13:09,12:43:24,8.8,41.1,Snow,-1.6,65.3,21.5,13.5,Sports,43060,24,0,0,5,Autumn,1
T02107,2023-03-29,02:04:23,Train,Route_16,Station_19,Station_28,07:18:01,07:43:45,14.0,29.8,Fog,19.0,52.0,58.8,1.2,None,0,82,0,0,2,Winter,1
T02108,2023-03-29,13:16:15,Bus,Route_5,Station_21,Station_36,08:01:41,09:23:12,9.7,11.8,Clear,25.8,58.4,76.9,1.3,Concert,14027,30,0,0,4,Spring,1
T02109,2023-03-29,21:46:40,Tram,Route_6,Station_21,Station_30,12:41:48,12:49:29,8.9,21.5,Rain,-3.5,25.2,37.3,18.9,None,0,73,0,0,2,Autumn,1
T02110,2023-03-29,07:31:38,Tram,Route_1,Station_16,Station_22,13:26:05,13:39:12,2.6,24.3,Rain,34.0,33.0,69.3,14.5,Concert,10861,82,0,1,1,Summer,1
T02111,2023-03-29,01:39:12,Tram,Route_8,Station_46,Station_47,13:23:29,14:44:11,0.4,1.0,Cloudy,6.5,78.6,2.8,1.3,None,0,11,0,0,0,Winter,0
T02112,2023-03-29,02:29:06,Metro,Route_1,Station_37,Station_49,18:49:58,18:08:53,12.9,49.1,Rain,33.9,73.8,67.3,14.3,None,0,68,0,0,0,Spring,1
T02113,2023-03-30,17:08:19,Train,Route_19,Station_8,Station_16,10:09:28,10:05:37,2.5,49.7,Clear,7.6,46.9,76.6,0.4,None,0,85,0,1,2,Autumn,1
T02114,2023-03-30,22:00:25,Train,Route_3,Station_11,Station_45,14:40:24,14:04:48,10.2,36.3,Cloudy,39.2,83.4,68.0,1.0,Sports,12753,66,0,0,1,Winter,1
T02115,2023-03-30,16:21:53,Metro,Route_14,Station_5,Station_23,08:35:10,08:16:15,11.6,47.4,Rain,34.9,84.5,7.0,30.8,None,0,99,0,0,5,Spring,1
T02116,2023-03-30,00:39:24,Bus,Route_12,Station_13,Station_37,07:38:28,07:39:45,12.3,31.7,Clear,33.5,62.2,50.9,1.1,None,0,42,0,0,3,Autumn,1
T02117,2023-03-30,09:51:55,Train,Route_5,Station_33,Station_26,15:48:20,15:00:29,8.3,32.8,Cloudy,25.9,98.4,6.0,0.1,Sports,9481,72,0,1,0,Summer,1
T02118,2023-03-30,08:21:28,Metro,Route_17,Station_47,Station_39,07:06:59,07:01:23,16.3,27.9,Storm,13.1,41.3,5.4,34.8,Festival,43841,96,0,1,5,Winter,1
T02119,2023-03-30,21:21:27,Metro,Route_3,Station_25,Station_44,21:17:29,21:44:18,12.7,37.7,Snow,15.6,43.6,6.2,12.9,Sports,3705,39,0,0,2,Spring,1
T02120,2023-03-30,12:52:52,Metro,Route_18,Station_5,Station_22,19:17:12,19:30:42,-2.0,0.3,Fog,21.4,20.7,11.4,0.5,None,0,39,0,0,4,Autumn,0
T02121,2023-03-30,05:55:41,Train,Route_15,Station_3,Station_36,08:45:38,08:15:26,6.9,22.8,Fog,7.0,32.0,42.9,0.2,Festival,18212,70,0,0,0,Spring,1
T02122,2023-03-30,13:38:08,Train,Route_13,Station_21,Station_26,05:29:18,06:03:48,2.6,-2.8,Snow,6.5,85.4,59.7,7.0,Sports,26572,24,0,0,0,Summer,0
T02123,2023-03-30,17:19:20,Metro,Route_18,Station_14,Station_40,19:10:37,19:07:21,16.6,26.8,Snow,16.8,70.3,13.0,15.4,Festival,34425,96,0,1,0,Spring,1
T02124,2023-03-30,13:38:44,Metro,Route_9,Station_29,Station_10,22:08:20,22:31:50,-0.4,1.1,Clear,18.8,35.2,0.5,0.3,Parade,19095,40,1,0,3,Winter,0
T02125,2023-03-30,10:12:30,Metro,Route_6,Station_6,Station_37,19:01:07,20:40:37,4.5,36.8,Cloudy,30.9,74.2,34.1,0.1,None,0,14,0,0,6,Spring,1
T02126,2023-03-30,17:20:11,Tram,Route_4,Station_12,Station_30,05:03:55,05:07:05,1.6,23.6,Clear,28.5,33.1,34.0,0.4,Parade,30828,23,0,1,6,Summer,1
T02127,2023-03-30,07:25:20,Tram,Route_19,Station_28,Station_23,13:20:35,13:58:21,0.6,3.1,Clear,23.1,52.5,35.1,0.9,Parade,33983,83,0,1,5,Autumn,0
T02128,2023-03-30,03:18:47,Metro,Route_9,Station_15,Station_19,09:30:23,09:02:47,4.8,48.2,Clear,24.4,99.8,44.6,0.3,Concert,8652,99,0,0,6,Winter,1
T02129,2023-03-30,20:44:40,Bus,Route_17,Station_19,Station_36,09:09:20,09:44:06,13.2,24.2,Rain,34.2,45.3,77.7,31.6,None,0,43,0,0,5,Autumn,1
T02130,2023-03-30,17:31:36,Tram,Route_7,Station_12,Station_18,11:53:46,12:02:04,6.3,19.8,Rain,-2.4,74.3,22.6,32.7,None,0,94,0,1,5,Winter,1
T02131,2023-03-30,17:50:15,Metro,Route_20,Station_3,Station_2,12:24:35,13:25:45,5.7,27.8,Storm,20.7,20.5,45.6,21.3,None,0,61,0,1,2,Summer,1
T02132,2023-03-30,21:20:24,Train,Route_18,Station_18,Station_48,18:01:40,18:53:58,14.2,17.6,Cloudy,-2.3,44.0,67.5,1.3,Concert,37063,80,0,0,1,Spring,1
T02133,2023-03-30,17:17:52,Metro,Route_7,Station_17,Station_23,12:27:41,12:09:26,11.4,37.7,Cloudy,-0.0,44.4,34.8,0.3,Festival,24541,57,0,1,4,Spring,1
T02134,2023-03-30,00:50:25,Tram,Route_10,Station_45,Station_9,20:20:25,20:00:01,5.6,24.6,Clear,16.4,87.0,1.2,1.5,Sports,20157,76,0,0,0,Autumn,1
T02135,2023-03-30,20:23:07,Tram,Route_16,Station_45,Station_12,12:11:20,12:32:02,1.4,0.2,Clear,12.6,33.6,28.1,0.3,None,0,86,0,0,1,Summer,0
T02136,2023-03-30,00:59:36,Metro,Route_5,Station_22,Station_42,07:39:53,08:08:25,-1.1,0.1,Clear,28.0,45.8,56.3,1.0,None,0,17,0,0,3,Autumn,0
T02137,2023-03-31,16:12:37,Metro,Route_1,Station_15,Station_17,15:48:02,15:22:35,5.3,20.6,Storm,31.8,33.0,14.9,30.8,Parade,14574,25,0,0,4,Winter,1
T02138,2023-03-31,23:34:11,Bus,Route_6,Station_21,Station_15,16:41:18,17:36:45,7.8,15.2,Clear,30.6,58.1,53.3,0.4,Parade,31043,44,0,0,2,Spring,1
T02139,2023-03-31,09:43:49,Metro,Route_12,Station_31,Station_25,10:20:36,10:13:42,6.4,33.3,Rain,21.1,41.8,4.2,32.0,None,0,14,0,1,5,Winter,1
T02140,2023-03-31,07:35:01,Tram,Route_3,Station_20,Station_2,10:48:36,10:16:54,5.1,37.1,Cloudy,-4.7,34.3,53.7,0.1,None,0,36,0,1,4,Spring,1
T02141,2023-03-31,22:46:29,Metro,Route_7,Station_38,Station_29,22:02:56,22:29:58,8.7,31.7,Fog,-3.9,54.5,40.0,1.2,Parade,34603,84,0,0,1,Spring,1
T02142,2023-03-31,10:45:13,Train,Route_19,Station_49,Station_3,21:32:03,22:21:38,-0.1,-0.2,Snow,3.6,57.8,56.2,13.0,Sports,49974,17,0,0,0,Autumn,0
T02143,2023-03-31,22:28:51,Train,Route_2,Station_21,Station_42,07:46:45,08:29:55,8.4,25.4,Storm,7.1,44.7,2.2,23.5,Concert,10815,77,0,0,1,Winter,1
T02144,2023-03-31,07:18:53,Metro,Route_2,Station_6,Station_22,15:45:08,16:35:58,-1.8,-2.0,Clear,15.7,97.3,76.2,0.3,Concert,6520,86,0,1,6,Summer,0
T02145,2023-03-31,04:44:04,Tram,Route_9,Station_7,Station_11,21:31:04,21:54:13,7.6,34.3,Storm,12.1,31.6,46.4,10.7,Festival,10218,92,0,0,1,Autumn,1
T02146,2023-03-31,13:52:54,Tram,Route_1,Station_44,Station_23,09:59:04,09:14:20,14.5,18.2,Clear,1.8,77.1,53.5,0.2,Parade,1194,94,0,0,5,Winter,1
T02147,2023-03-31,08:50:50,Bus,Route_1,Station_21,Station_9,22:08:09,22:18:32,5.7,23.1,Snow,-0.7,62.2,65.2,27.4,Sports,14197,63,0,1,4,Spring,1
T02148,2023-03-31,17:26:43,Train,Route_4,Station_17,Station_17,08:06:33,08:32:45,7.3,33.9,Clear,-4.0,50.8,3.9,1.0,Protest,29457,72,0,1,6,Spring,1
T02149,2023-03-31,07:31:08,Train,Route_3,Station_31,Station_7,19:10:45,20:13:22,9.7,21.6,Fog,-1.9,73.9,12.8,1.2,Sports,7008,57,0,1,6,Winter,1
T02150,2023-03-31,18:40:19,Train,Route_17,Station_48,Station_34,22:15:05,23:31:57,5.2,11.7,Rain,-5.0,32.3,12.6,7.7,None,0,26,0,1,6,Spring,1
T02151,2023-03-31,08:15:16,Tram,Route_3,Station_22,Station_49,05:48:23,05:05:38,8.8,33.0,Snow,-3.5,94.4,12.6,27.9,None,0,90,1,1,2,Spring,1
T02152,2023-03-31,08:42:09,Tram,Route_11,Station_16,Station_25,20:22:21,20:11:06,16.4,44.6,Snow,15.1,86.7,7.0,15.2,Festival,39416,88,0,1,3,Spring,1
T02153,2023-03-31,17:45:27,Train,Route_15,Station_44,Station_5,18:05:26,19:18:36,9.0,29.4,Clear,25.4,79.5,73.6,0.3,Concert,46046,66,0,1,3,Winter,1
T02154,2023-03-31,06:50:24,Metro,Route_13,Station_5,Station_4,12:21:48,12:25:30,11.7,23.1,Snow,13.8,96.7,27.9,22.9,Protest,42524,76,0,0,4,Summer,1
T02155,2023-03-31,06:04:28,Metro,Route_14,Station_43,Station_42,17:04:31,18:36:05,11.3,28.4,Cloudy,6.8,95.3,9.1,1.5,None,0,69,1,0,1,Spring,1
T02156,2023-03-31,13:38:30,Tram,Route_8,Station_27,Station_18,08:25:34,08:52:16,1.6,3.0,Clear,22.7,36.2,57.0,1.5,Festival,17408,17,0,0,5,Summer,0
T02157,2023-03-31,07:37:25,Tram,Route_18,Station_2,Station_15,22:03:33,22:24:15,14.4,35.2,Clear,23.5,90.9,29.3,1.5,None,0,30,0,1,4,Spring,1
T02158,2023-03-31,09:34:32,Metro,Route_2,Station_12,Station_6,18:26:41,19:57:45,3.3,16.4,Clear,27.0,83.3,16.4,1.0,None,0,72,0,1,1,Summer,1
T02159,2023-03-31,08:59:58,Train,Route_3,Station_34,Station_34,09:50:25,09:32:59,-1.8,0.8,Clear,7.8,54.7,74.3,0.6,Concert,32215,28,0,1,0,Summer,0
